url,7/19/2021,7/20/2021,2021-07-21,2021-07-22,2021-07-23
https://www.opentable.com/r/kokage-new-york-2,7.0,,13.0,6.0,10.0
https://www.opentable.com/r/mizu-flatiron-new-york,6.0,,,,2.0
https://www.opentable.com/r/the-whitby-bar-and-restaurant-new-york,55.0,,49.0,52.0,38.0
https://www.opentable.com/r/piccola-cucina-estiatorio-newyork,92.0,95.0,76.0,70.0,68.0
https://www.opentable.com/r/l-adresse-new-york,56.0,,52.0,53.0,52.0
https://www.opentable.com/r/hudson-west-kitchen-and-craft-bar-formerly-ousia-new-york,8.0,,16.0,16.0,9.0
https://www.opentable.com/r/hudson-west-kitchen-and-craft-bar-formerly-ousia-new-york,8.0,,16.0,17.0,9.0
https://www.opentable.com/r/royal-35-steakhouse-new-york,10.0,,19.0,11.0,17.0
https://www.opentable.com/r/serafina-ludlow-new-york,13.0,,14.0,14.0,16.0
https://www.opentable.com/r/spice-symphony-31st-st-new-york,3.0,,0.0,3.0,4.0
https://www.opentable.com/r/zia-maria-ristorante-and-pizzeria-new-york,4.0,,5.0,3.0,7.0
https://www.opentable.com/r/boucherie-new-york,132.0,,130.0,136.0,170.0
https://www.opentable.com/r/deninos-greenwich-village-new-york,11.0,,9.0,14.0,10.0
https://www.opentable.com/r/deninos-greenwich-village-new-york,11.0,,9.0,14.0,10.0
https://www.opentable.com/r/misirizzi-new-york,6.0,,4.0,4.0,15.0
https://www.opentable.com/r/pescatore-new-york,19.0,,19.0,14.0,11.0
https://www.opentable.com/r/allora-new-york,13.0,,11.0,3.0,7.0
https://www.opentable.com/r/allora-new-york,13.0,,11.0,3.0,7.0
https://www.opentable.com/r/divyas-kitchen-new-york-city,20.0,,28.0,15.0,18.0
https://www.opentable.com/r/benjamin-prime-new-york,159.0,,116.0,106.0,100.0
https://www.opentable.com/r/isabelles-osteria-new-york,110.0,,95.0,77.0,112.0
https://www.opentable.com/r/upstate-craft-beer-and-oyster-bar-new-york,20.0,,21.0,34.0,25.0
https://www.opentable.com/r/omakase-shiro-new-york,6.0,,6.0,9.0,6.0
https://www.opentable.com/r/buddha-bodai-kosher-vegetarian-restaurant-new-york,13.0,,11.0,18.0,16.0
https://www.opentable.com/r/sahib-new-york,0.0,0.0,0.0,2.0,1.0
https://www.opentable.com/r/empire-rooftop-at-empire-hotel-new-york,65.0,,,54.0,71.0
https://www.opentable.com/r/russian-samovar-and-tolstoys-lounge-new-york,7.0,15.0,11.0,10.0,10.0
https://www.opentable.com/r/russian-samovar-and-tolstoys-lounge-new-york,7.0,15.0,11.0,10.0,10.0
https://www.opentable.com/r/bazar-tapas-bar-and-restaurant-new-york,17.0,,21.0,9.0,17.0
https://www.opentable.com/r/industry-kitchen-new-york,87.0,,77.0,,
https://www.opentable.com/r/cut-by-wolfgang-puck-at-fs-downtown-new-york,16.0,,11.0,,
https://www.opentable.com/r/soju-haus-new-york,9.0,,,,
https://www.opentable.com/r/obica-mozzarella-bar-pizza-e-cucina-new-york,11.0,,27.0,21.0,27.0
https://www.opentable.com/r/harolds-meat-and-three-new-york,4.0,,6.0,3.0,2.0
