name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day
Anejo Restaurant,https://www.opentable.com/r/anejo-restaurant-new-york-2,1,False,2,77,4.7,4.7,4.6,4.6,4.4,Moderate,97.0,Hell's Kitchen,Mexican,Casual Dining,Casual Dress,Ricardo Camacho,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Mexican,1,1,1,1,False,4,True,11/10/2020,257.0,0.29961089494163423
La Barra at Mercado Little Spain,https://www.opentable.com/r/la-barra-at-mercado-little-spain-new-york,1,False,1,50,4.3,4.4,4.2,4.2,3.9,Moderate,81.0,Hudson Yards,Spanish,Casual Dining,Casual Dress,,"Beer, Cocktails, Non-Smoking, Wine",Spanish,1,1,1,0,False,3,True,11/8/2020,259.0,0.19305019305019305
Havana Heights,https://www.opentable.com/r/havana-heights-new-york,1,False,1,7,4.5,4.5,4.5,4.4,4.3,Moderate,80.0,Washington Heights,"Cuban, Caribbean, Latin / Spanish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,1,1,1,1,False,4,True,11/3/2020,264.0,0.026515151515151516
Seamore's Market Bar & Restaurant,https://www.opentable.com/r/seamores-market-bar-and-restaurant-new-york,1,False,1,3,4.4,4.9,4.9,4.4,4.9,Moderate,100.0,Midtown West,"Seafood, American, Cocktail Bar",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Seafood,1,1,1,1,False,4,True,11/19/2020,248.0,0.012096774193548387
Bella Ciao,https://www.opentable.com/r/bella-ciao-new-york,1,False,2,42,4.2,4.2,4.3,4.3,4.2,Moderate,100.0,Little Italy,Italian,Casual Dining,Casual Dress,,,Italian,0,0,0,0,False,0,False,10/23/2020,275.0,0.15272727272727274
Shiraz Kitchen - Chelsea,https://www.opentable.com/r/shiraz-kitchen-chelsea-new-york,1,False,1,43,4.4,4.3,4.6,4.4,4.3,Moderate,94.0,Gramercy / Flatiron,"Mediterranean, Persian",Casual Elegant,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,1,1,1,1,False,4,True,10/22/2020,276.0,0.15579710144927536
NOIR,https://www.opentable.com/r/noir-new-york,1,False,3,17,4.0,4.0,4.1,4.3,3.6,Energetic,60.0,Chelsea,"Asian, Fusion / Eclectic, Bottle Service",Casual Dining,Business Casual,,"Bar/Lounge, Cocktails, Delivery, Full Bar, Late Night, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Asian,1,1,1,1,False,4,True,10/16/2020,282.0,0.06028368794326241
Casa Limone,https://www.opentable.com/r/casa-limone-new-york,1,False,2,34,4.9,4.8,4.9,4.8,4.5,Moderate,100.0,Midtown East,"Mediterranean, Italian",Casual Elegant,Smart Casual,Antonio Alfredo Salvatore,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mediterranean,1,1,1,1,False,4,True,6/7/2021,48.0,0.7083333333333334
Julius' Bar,https://www.opentable.com/r/julius-bar-new-york,1,False,1,55,4.9,4.7,4.8,4.9,4.9,Moderate,100.0,West Village,American,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,9/25/2020,303.0,0.18151815181518152
Lagos Restaurant and Lounge,https://www.opentable.com/r/lagos-restaurant-and-lounge-new-york,1,False,2,95,4.3,4.3,4.2,4.5,4.2,Moderate,93.0,Midtown East,"West African, Comfort Food, Contemporary American",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",West African,1,1,1,1,False,4,True,2/26/2021,149.0,0.6375838926174496
